#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 02 18 00 999 99.0 99.0  0.89 14.29  6.17 263 9999.0   8.9  11.1 999.0 99.0 99.00
2022 01 02 18 30 999 99.0 99.0  0.96 14.29  6.47 257 9999.0   8.4  11.1 999.0 99.0 99.00
2022 01 02 19 00 999 99.0 99.0  1.06 14.29  6.92 266 9999.0   8.4  11.1 999.0 99.0 99.00
2022 01 02 19 30 999 99.0 99.0  0.99 12.50  6.16 274 9999.0   8.7  11.1 999.0 99.0 99.00
2022 01 02 20 00 999 99.0 99.0  0.95 15.38  5.95 268 9999.0   9.0  11.1 999.0 99.0 99.00
2022 01 02 20 30 999 99.0 99.0  0.96 15.38  6.03 251 9999.0   9.3  11.2 999.0 99.0 99.00
2022 01 02 21 00 999 99.0 99.0  0.92 15.38  6.04 261 9999.0   9.7  11.2 999.0 99.0 99.00
2022 01 02 21 30 999 99.0 99.0  0.93 15.38  7.17 262 9999.0  10.0  11.3 999.0 99.0 99.00
2022 01 02 22 00 999 99.0 99.0  0.92 14.29  8.33 264 9999.0  10.3  11.5 999.0 99.0 99.00
2022 01 02 22 30 999 99.0 99.0  1.04 15.38  9.58 262 9999.0  10.3  11.6 999.0 99.0 99.00
2022 01 02 23 00 999 99.0 99.0  0.86 14.29  8.55 259 9999.0  10.5  11.5 999.0 99.0 99.00
2022 01 02 23 30 999 99.0 99.0  0.91 14.29  8.66 268 9999.0  10.7  11.6 999.0 99.0 99.00
2022 01 03 00 00 999 99.0 99.0  0.91 14.29  8.43 258 9999.0  11.0  11.5 999.0 99.0 99.00
2022 01 03 00 30 999 99.0 99.0  0.96 14.29  8.18 261 9999.0  11.0  11.4 999.0 99.0 99.00
2022 01 03 01 00 999 99.0 99.0  0.88 15.38  7.39 258 9999.0  11.0  11.4 999.0 99.0 99.00
2022 01 03 01 30 999 99.0 99.0  0.94 14.29  7.56 264 9999.0  10.9  11.3 999.0 99.0 99.00
2022 01 03 02 00 999 99.0 99.0  0.94 14.29  7.65 262 9999.0  10.7  11.3 999.0 99.0 99.00
2022 01 03 02 30 999 99.0 99.0  0.94 14.29  7.63 265 9999.0  10.7  11.2 999.0 99.0 99.00
2022 01 03 03 00 999 99.0 99.0  0.80 14.29  6.97 263 9999.0  10.7  11.2 999.0 99.0 99.00
2022 01 03 03 30 999 99.0 99.0  0.88 13.33  7.38 271 9999.0  10.6  11.1 999.0 99.0 99.00
2022 01 03 04 00 999 99.0 99.0  0.87 14.29  7.34 270 9999.0  10.6  11.1 999.0 99.0 99.00
2022 01 03 04 30 999 99.0 99.0  0.84 13.33  7.41 267 9999.0  10.6  11.0 999.0 99.0 99.00
2022 01 03 05 00 999 99.0 99.0  0.89 13.33  8.33 273 9999.0  10.8  11.0 999.0 99.0 99.00
