#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 02 11 00 999 99.0 99.0  2.83 20.00 13.76 275 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 02 11 30 999 99.0 99.0  2.98 20.00 14.05 273 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 02 12 00 999 99.0 99.0  3.03 20.00 13.68 275 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 02 12 30 999 99.0 99.0  3.05 20.00 13.80 273 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 02 13 00 999 99.0 99.0  3.18 20.00 13.66 275 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 02 13 30 999 99.0 99.0  3.63 20.00 14.06 270 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 02 14 00 999 99.0 99.0  3.17 20.00 13.54 264 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 02 14 30 999 99.0 99.0  3.74 20.00 13.87 270 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 02 15 00 999 99.0 99.0  3.69 18.18 13.53 268 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 02 15 30 999 99.0 99.0  3.81 18.18 13.65 269 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 02 16 00 999 99.0 99.0  3.63 18.18 13.42 273 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 16 30 999 99.0 99.0  4.16 18.18 14.14 271 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 17 00 999 99.0 99.0  3.26 20.00 12.76 276 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 17 30 999 99.0 99.0  3.58 18.18 13.39 270 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 18 00 999 99.0 99.0  3.64 18.18 13.07 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 18 30 999 99.0 99.0  3.60 18.18 13.19 273 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 19 00 999 99.0 99.0  3.37 18.18 12.80 277 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 19 30 999 99.0 99.0  3.43 18.18 12.36 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 20 00 999 99.0 99.0  3.45 18.18 12.57 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 20 30 999 99.0 99.0  3.70 16.67 12.60 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 21 00 999 99.0 99.0  3.51 16.67 12.10 275 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 21 30 999 99.0 99.0  3.44 18.18 12.30 269 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 22 00 999 99.0 99.0  3.44 16.67 12.19 273 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 22 30 999 99.0 99.0  3.74 18.18 12.89 269 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 02 23 00 999 99.0 99.0  4.09 18.18 13.63 268 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 02 23 30 999 99.0 99.0  3.65 18.18 12.93 269 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 03 00 00 999 99.0 99.0  3.73 18.18 12.84 271 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 00 30 999 99.0 99.0  3.79 18.18 12.96 272 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 03 01 00 999 99.0 99.0  4.04 18.18 13.45 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 01 30 999 99.0 99.0  3.78 16.67 13.09 271 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 03 02 00 999 99.0 99.0  4.09 18.18 13.54 274 9999.0 999.0  10.9 999.0 99.0 99.00
